verb,voice,verb renamed,communicative,pure,discourse participation,state changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear classification,unclear usage,unclear sub-classification
petrify,passive,be petrified,,,,,yes,yes,,,,,,,,
phone,active,phone,yes,yes,,,,,,,,,,,,
picture,active,picture,,,,,yes,,yes,,,yes,,,,
piece_together,active,piece together,,,,,yes,,yes,,yes,,,,,
pinpoint,active,pinpoint,yes,,,yes,yes,,yes,,yes,,,,,
pity,active,pity,,,,,yes,yes,,,,,,,,
please,passive,be pleased,,,,,yes,yes,,,,,,,,
point_out,active,point out,yes,,yes,,,,,,,,,,,
ponder,active,ponder,,,,,yes,,yes,,,yes,,,,
posit,active,posit,yes,,yes,,,,,,,,,,,
post,active,post,yes,yes,,,,,,,,,,,,
pout,active,pout,yes,yes,,,,,,,,,,,,
praise,active,praise,yes,,yes,,,,,,,,,,,
pray,active,pray,,,,,yes,,yes,,,yes,,,,
preach,active,preach,yes,,yes,,,,,,,,,,,
predict,active,predict,yes,,yes,,,,,,,,,,,
prejudge,active,prejudge,,,,,yes,,yes,,yes,,,,,
presume,active,presume,,,,,yes,,yes,yes,,,,,,
presuppose,active,presuppose,,,,,yes,,yes,yes,,,,,,
pretend,active,pretend,yes,,,yes,,,,,,,,,,
proclaim,active,proclaim,yes,,yes,,,,,,,,,,,
promise,active,promise,yes,,,yes,,,,,,,,,,
promise,passive,be promised,,,,,yes,,,,,,yes,,,
prophesy,active,prophesy,yes,yes,,,,,,,,,,,,
propose,active,propose,yes,,yes,,,,,,,,,,,
prove,active,prove,yes,,,yes,,,,,,,,,,
publicize,active,publicize,yes,yes,,,,,,,,,,,,
publish,active,publish,yes,yes,,,,,,,,,,,,
puzzle,passive,be puzzled,,,,,yes,yes,,,,,,,,
quarrel,active,quarrel,yes,,yes,,,,,,,,,,,
question,active,question,yes,,yes,,,,,,,,,,,
question,passive,be questioned,,,,,,,,,,,,yes,yes,
quip,active,quip,yes,yes,,,,,,,,,,,,
quote,passive,be quoted,,,,,yes,,,,,,yes,,,
radio,active,radio,yes,yes,,,,,,,,,,,,
radio,passive,be radioed,,,,,yes,,,,,,yes,,,
rant,active,rant,yes,yes,,,,,,,,,,,,
rationalize,active,rationalize,,,,,yes,,yes,,yes,,,,,
rave,active,rave,yes,yes,,,,,,,,,,,,
read,active,read,,,,,yes,,,,,,yes,,,
reaffirm,active,reaffirm,yes,,yes,,,,,,,,,,,
reaffirm,passive,be reaffirmed,,,,,,,,,,,,yes,yes,
realize,active,realize,,,,,yes,,yes,,yes,,,,,
reason,active,reason,,,,,yes,,yes,,yes,,,,,
reason_out,active,reason out,,,,,yes,,yes,,yes,,,,,
reassert,active,reassert,yes,,yes,,,,,,,,,,,
reassure,passive,be reassured,,,,,yes,,,,,,yes,,,
recall,active,recall,,,,,yes,,yes,yes,,,,,,
recap,active,recap,yes,,yes,,,,,,,,,,,
