verb,voice,verb renamed,communicative,private,emotive,cognitive,stative cognitive,eventive cognitive with conclusion,eventive cognitive without conclusion,evidential ,negative,"state 
changing","discourse 
participation","unclear
classification","unclear
usage"
stimulate,passive,be stimulated,,yes,yes,,,,,,,,,,
stipulate,active,stipulate,yes,,,,,,,,,,,,
stress,active,stress,yes,,,,,,,,,,,,
stress,passive,be stressed,,yes,yes,,,,,,,,,,
stun,passive,be stunned,,yes,yes,,,,,,,,,,
stupefy,passive,be stupefied,,yes,yes,,,,,,,,,,
stutter,active,stutter,yes,,,,,,,,,,,,
submit,active,submit,yes,,,,,,,,,,yes,,
suggest,active,suggest,yes,,,,,,,,,,,,
summarize,active,summarize,yes,,,,,,,,,,,,
suppose,active,suppose,,yes,,yes,yes,,,,,,,,
surmise,active,surmise,,yes,,yes,yes,,,,,,,,
surprise,passive,be surprised,,yes,yes,,,,,,,,,,
suspect,active,suspect,,yes,,yes,yes,,,,,,,,
swear,active,swear,yes,,,,,,,,,,,,
tantalize,passive,be tantalized,,yes,yes,,,,,,,,,,
tease,active,tease,yes,,,,,,,,,yes,,,
tell,passive,be told,,yes,,,,,,yes,,,,,
terrify,passive,be terrified,,yes,yes,,,,,,,,,,
test,active,test,,yes,,yes,,yes,,,,,,,
testify,active,testify,yes,,,,,,,,,,,,
theorize,active,theorize,,yes,,yes,,yes,,,,,,,
think,active,think,,yes,,yes,yes,,,,,,,,
thrill,passive,be thrilled,,yes,yes,,,,,,,,,,
torture,passive,be tortured,,yes,yes,,,,,,,,,,
traumatize,passive,be traumatized,,yes,yes,,,,,,,,,,
